time,consent,gender,age,job,wb_1,wb_2,wb_3,wb_4,wb_5,wb_6,wb_7,wb_8,wb_9,wb_10,wb_11,wb_12,wb_13,wb_14,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,self_oriented,other_oriented,socially_prescribed,perfect_sum,wb
05/11/2022 13.42.25,Ja,Kvinde,25,Studerende,4,3,3,3,2,3,3,3,2,3,3,4,3,3,5,6,2,7,5,3,1,7,3,3,4,5,2,3,6,5,3,2,6,4,3,2,6,3,4,3,5,6,6,2,4,5,5,4,5,6,4,1,1,6,7,6,2,3,5,75,57,54,NA,42
05/11/2022 13.44.53,Ja,Kvinde,24,Studerende,3,4,3,3,2,4,2,3,3,2,2,3,3,3,6,2,1,4,7,6,1,7,3,4,7,6,3,6,4,4,4,7,3,3,2,5,4,4,6,5,2,6,2,1,6,7,1,1,5,6,7,1,2,7,5,4,5,4,4,77,47,66,NA,40
05/11/2022 13.50.20,Ja,Kvinde,23,Studerende,3,3,3,4,2,3,3,3,4,3,4,4,3,3,5,2,4,7,6,4,4,5,1,5,6,2,5,7,5,5,4,3,4,5,2,5,7,5,6,4,4,6,2,3,2,6,2,1,1,7,4,1,5,6,3,6,4,2,6,76,62,51,NA,45
05/11/2022 14.04.10,Ja,Kvinde,23,Studerende,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,2,1,1,1,4,2,5,3,3,1,1,2,5,4,5,2,1,1,5,6,5,4,4,2,5,1,1,1,1,1,2,1,6,5,1,2,5,1,5,3,1,5,51,47,30,NA,56
05/11/2022 14.09.34,Ja,Kvinde,29,Studerende,4,3,3,3,3,2,3,2,3,2,3,4,2,3,5,2,5,3,4,2,2,6,3,6,5,6,6,6,4,5,1,2,3,4,2,3,7,6,2,2,1,6,1,3,2,7,2,2,1,6,4,2,2,6,2,4,5,2,4,72,50,42,NA,40
05/11/2022 14.10.26,Ja,Kvinde,24,Studerende,4,4,3,3,4,3,4,3,3,3,4,4,4,4,5,1,4,2,7,4,2,6,3,2,7,4,6,4,2,3,1,5,2,3,2,5,6,4,3,1,2,4,1,3,5,4,5,2,5,5,5,1,5,5,6,6,1,3,1,61,32,70,NA,50
05/11/2022 14.31.51,Ja,Mand,25,Studerende,3,4,1,4,2,4,4,3,3,3,4,4,4,3,5,1,7,1,4,4,1,7,5,2,7,5,5,7,1,3,2,6,2,4,2,1,1,1,4,1,1,5,1,4,7,7,5,4,3,7,1,1,5,7,7,5,1,3,4,71,28,68,NA,46
05/11/2022 14.32.59,Ja,Kvinde,23,Arbejdende,2,4,3,5,3,4,4,3,2,3,5,5,5,3,7,1,4,1,4,7,5,1,1,7,5,7,1,6,5,4,4,1,4,5,2,5,7,5,4,6,1,7,1,1,1,7,1,4,1,7,1,1,1,7,1,7,4,1,3,88,52,26,NA,51
05/11/2022 14.37.26,Ja,Kvinde,22,Studerende,4,4,3,4,4,4,3,4,3,3,4,5,3,3,5,1,3,4,2,3,1,3,7,4,6,4,1,6,3,5,1,5,1,1,1,5,4,6,4,1,1,5,1,1,1,5,1,1,1,6,1,7,1,6,2,5,3,1,1,58,44,35,NA,51
05/11/2022 14.42.59,Ja,Kvinde,24,Studerende,3,4,3,4,3,3,4,3,4,4,4,4,4,3,1,1,3,1,2,1,1,5,1,1,2,4,2,1,2,5,2,4,1,1,1,2,4,3,2,5,2,1,1,1,3,4,2,1,1,1,2,1,1,2,4,1,1,1,1,31,29,29,NA,50
05/11/2022 14.44.15,Ja,Kvinde,19,Studerende,4,4,4,4,2,3,2,4,4,3,4,4,3,3,4,3,7,7,3,1,1,6,1,3,5,1,1,2,4,4,5,2,3,3,1,5,5,2,4,1,2,5,1,1,3,4,1,5,1,5,6,1,1,2,2,5,2,1,1,57,43,33,NA,48
05/11/2022 14.47.31,Ja,Kvinde,25,Studerende,4,5,2,3,3,4,4,4,3,3,4,4,2,3,5,1,3,1,2,2,1,6,1,1,6,5,2,2,1,5,2,3,3,1,1,1,5,3,1,2,1,1,1,1,2,6,1,1,1,7,1,1,1,6,4,5,1,1,1,55,26,28,NA,48
05/11/2022 14.53.38,Ja,Kvinde,30,Arbejdende,2,1,3,3,3,2,3,2,3,1,4,3,1,3,4,4,5,3,5,1,3,6,2,4,5,5,1,3,4,4,3,3,4,2,1,5,5,4,3,2,1,3,2,2,3,4,3,2,3,5,6,4,2,6,5,1,4,3,3,54,52,47,NA,34
05/11/2022 14.55.21,Ja,Kvinde,25,Studerende,3,3,2,3,2,3,3,2,3,2,4,4,2,3,5,3,1,4,4,1,1,4,4,4,5,2,4,2,3,2,1,2,3,4,1,6,5,3,5,2,2,5,1,2,3,6,2,1,2,6,4,1,1,7,2,4,4,3,3,56,40,44,NA,39
05/11/2022 14.57.43,Ja,Kvinde,23,Studerende,3,3,2,4,2,3,3,2,3,2,3,4,2,2,5,1,2,1,3,1,1,3,1,4,6,2,3,4,2,3,2,7,1,1,2,1,4,2,6,4,1,4,1,2,4,5,1,6,5,6,7,1,4,5,2,5,2,3,3,55,28,56,NA,38
05/11/2022 15.01.41,Ja,Mand,24,Studerende,5,4,3,4,3,4,5,4,4,4,5,5,4,4,5,6,4,1,1,2,3,7,1,5,3,1,2,6,1,7,2,4,4,2,1,3,5,2,2,6,5,6,1,1,1,1,1,1,1,6,1,4,2,6,1,4,2,1,1,55,54,23,NA,58
05/11/2022 15.01.46,Ja,Kvinde,23,Studerende,4,3,2,3,2,3,3,3,4,3,4,3,4,3,2,2,7,6,5,6,3,6,5,5,6,6,2,4,5,6,7,1,6,1,1,3,7,5,1,1,1,5,1,2,2,5,3,1,3,6,3,1,1,1,1,6,3,1,1,68,51,37,NA,44
